Property,Owner / Operator,Type,Rent pw,Rent pcm,Rent pa,Weeks,Area sqm,Area sqft,£psf pa,Address,url
Central Village,University of Leeds,Standard  en-suite,150.0,537.5,6450,43,,,,"Central Village, Woodhouse Lane, Leeds, LS2 3AB",https://www.mystudenthalls.com/student-accommodation/leeds/central-village/
Central Village,University of Leeds,Studio Flat ,176.0,630.67,7568,43,,,,"Central Village, Woodhouse Lane, Leeds, LS2 3AB",https://www.mystudenthalls.com/student-accommodation/leeds/central-village/
James Baillie Park,University of Leeds on behalf of Unite,Standard,116.0,406.0,4872,42,,,,"James Baillie Park, North Hill Road, Leeds, LS6 2ED",https://www.mystudenthalls.com/student-accommodation/leeds/james-baillie-park-2/
James Baillie Park,University of Leeds on behalf of Unite,En-suite ,138.0,483.0,5796,42,,,,"James Baillie Park, North Hill Road, Leeds, LS6 2ED",https://www.mystudenthalls.com/student-accommodation/leeds/james-baillie-park-2/
James Baillie Park,University of Leeds on behalf of Unite,Studio Flat ,163.0,570.5,6846,42,,,,"James Baillie Park, North Hill Road, Leeds, LS6 2ED",https://www.mystudenthalls.com/student-accommodation/leeds/james-baillie-park-2/
North Hill Court,University of Leeds,Standard Room,91.0,318.5,3822,42,,,,"North Hill Court,  North Grange Mount, Leeds, LS6 2ER",https://www.mystudenthalls.com/student-accommodation/leeds/north-hill-court/
"Carr Mills Student Accommodation, Leeds",Njoy Student Living,Large Double Ensuite,121.0,443.67,5324,44,,,,"Carr Mills Buslingthorpe Lane, Leeds, LS7 2DG",https://www.mystudenthalls.com/student-accommodation/leeds/carr-mills-student-accommodation-leeds/
Sentinel Towers,University of Leeds,En-suite,132.0,462.0,5544,42,,,,"Sentinel Towers,  Burley Street, Leeds,  LS3 1LD",https://www.mystudenthalls.com/student-accommodation/leeds/sentinel-towers/
Oxley Residences,University of Leeds,Standard Room,92.0,322.0,3864,42,,,,"Oxley Residences, Weetwood Lane, Leeds,  LS16 8HL",https://www.mystudenthalls.com/student-accommodation/leeds/oxley-residences/
Oxley Residences,University of Leeds,En-suite,117.0,409.5,4914,42,,,,"Oxley Residences, Weetwood Lane, Leeds,  LS16 8HL",https://www.mystudenthalls.com/student-accommodation/leeds/oxley-residences/
Liberty Dock,University of Leeds on behalf of Liberty Living,En-suite,130.0,455.0,5460,42,,,,"Liberty Dock Residences, Clarence Road, Leeds, LS10 1LU",https://www.mystudenthalls.com/student-accommodation/leeds/liberty-dock/
Charles Morris Hall,University of Leeds,Standard room (Dobree and Whetton),178.0,578.5,6942,39,,,,"Charles Morris Hall, Mount Preston Street, Leeds, LS2 9JP",https://www.mystudenthalls.com/student-accommodation/leeds/charles-morris-hall/
Charles Morris Hall,University of Leeds,En-suite room,189.0,614.25,7371,39,,,,"Charles Morris Hall, Mount Preston Street, Leeds, LS2 9JP",https://www.mystudenthalls.com/student-accommodation/leeds/charles-morris-hall/
Devonshire Hall,Leeds University,Catered (Standard Room),161.0,523.25,6279,39,,,,"Devonshire Hall, Cumberland Road, Leeds, LS6 2EQ",https://www.mystudenthalls.com/student-accommodation/leeds/devonshire-hall/
Devonshire Hall,Leeds University,Catered (En-suite Room),186.0,604.5,7254,39,,,,"Devonshire Hall, Cumberland Road, Leeds, LS6 2EQ",https://www.mystudenthalls.com/student-accommodation/leeds/devonshire-hall/
Devonshire Hall,Leeds University,Self-catered (both en-suite and standard),105.0,367.5,4410,42,,,,"Devonshire Hall, Cumberland Road, Leeds, LS6 2EQ",https://www.mystudenthalls.com/student-accommodation/leeds/devonshire-hall/
Leodis Residences,University of Leeds on behalf of Mansion Group,En-suite,140.0,490.0,5880,42,,,,"Leodis Residences, 1 North West Road, Leeds, LS6 2QF",https://www.mystudenthalls.com/student-accommodation/leeds/leodis-residences/
The Tannery,"University of Leeds, in partnership with UNITE",En-suite,140.0,501.67,6020,43,,,,"The Tannery, Cavendish Street, Leeds, LS3 1AF",https://www.mystudenthalls.com/student-accommodation/leeds/the-tannery-3/
Symons House,Prestige Student Living,Classic Studio,235.0,998.75,11985,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Deluxe 2 Bed Apartment,225.0,956.25,11475,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Club Studio,195.0,828.75,9945,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Deluxe Studio,259.0,1100.75,13209,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Premium Studio,255.0,1083.75,13005,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Penthouse 1 Bed Apartment,285.0,1211.25,14535,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Penthouse 1 Bed Accessible Apartment,285.0,1211.25,14535,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Classic 4 Bed Ensuite,169.0,718.25,8619,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Classic 5 Bed Ensuite,175.0,641.67,7700,44,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Premium 4 Bed Ensuite,190.0,807.5,9690,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Symons House,Prestige Student Living,Penthouse 2 Bed Apartment,249.0,1058.25,12699,51,,,,"Belgrave St, Leeds, LS2 8DD",https://www.mystudenthalls.com/student-accommodation/leeds/symons-house/
Pennine House,Hello Student,Prices available from,172.0,731.0,8772,51,,,,"Penny Street, Leeds, LA1 1XN",https://www.mystudenthalls.com/student-accommodation/leeds/pennine-house/
